ppi_widths, Rho: 0.1     9.207814
Rho: 0.25    1.395609
Rho: 0.5     0.282867
Rho: 0.9     0.051359
Name: ppi_widths, dtype: float64
naive_widths, Rho: 0.1     4.606660
Rho: 0.25    0.699368
Rho: 0.5     0.147123
Rho: 0.9     0.047771
Name: naive_widths, dtype: float64
classical_widths, Rho: 0.1     9.209921
Rho: 0.25    1.396691
Rho: 0.5     0.286740
Rho: 0.9     0.069307
Name: classical_widths, dtype: float64
ppi_preds, Rho: 0.1     1.989286
Rho: 0.25    1.997100
Rho: 0.5     1.998306
Rho: 0.9     1.999522
Name: ppi_preds, dtype: float64
ppi_lowers, Rho: 0.1    -2.614620
Rho: 0.25    1.299295
Rho: 0.5     1.856873
Rho: 0.9     1.973843
Name: ppi_lowers, dtype: float64
ppi_uppers, Rho: 0.1     6.593193
Rho: 0.25    2.694904
Rho: 0.5     2.139740
Rho: 0.9     2.025202
Name: ppi_uppers, dtype: float64
naive_preds, Rho: 0.1     2.001439
Rho: 0.25    2.001092
Rho: 0.5     1.998678
Rho: 0.9     1.999703
Name: naive_preds, dtype: float64
naive_lowers, Rho: 0.1    -0.301890
Rho: 0.25    1.651408
Rho: 0.5     1.925116
Rho: 0.9     1.975818
Name: naive_lowers, dtype: float64
naive_uppers, Rho: 0.1     4.304769
Rho: 0.25    2.350776
Rho: 0.5     2.072240
Rho: 0.9     2.023589
Name: naive_uppers, dtype: float64
classical_preds, Rho: 0.1     1.989144
Rho: 0.25    1.997089
Rho: 0.5     1.998629
Rho: 0.9     1.999913
Name: classical_preds, dtype: float64
classical_lowers, Rho: 0.1    -2.615817
Rho: 0.25    1.298744
Rho: 0.5     1.855259
Rho: 0.9     1.965259
Name: classical_lowers, dtype: float64
classical_uppers, Rho: 0.1     6.594104
Rho: 0.25    2.695435
Rho: 0.5     2.141999
Rho: 0.9     2.034566
Name: classical_uppers, dtype: float64
ppi_coverages, Rho: 0.1     0.8985
Rho: 0.25    0.9056
Rho: 0.5     0.9016
Rho: 0.9     0.9045
Name: ppi_coverages, dtype: float64
naive_coverages, Rho: 0.1     0.7238
Rho: 0.25    0.7351
Rho: 0.5     0.7409
Rho: 0.9     0.8893
Name: naive_coverages, dtype: float64
classical_coverages, Rho: 0.1     0.8988
Rho: 0.25    0.9056
Rho: 0.5     0.9020
Rho: 0.9     0.9018
Name: classical_coverages, dtype: float64
